4,0,5400,2013-11-22,0
5,0,2400,2013-11-22,0
6,6,2440,2013-11-22,0
8,10,2475,2013-11-22,0
10,19,500,2013-11-22,0
15,37,1040,2013-11-22,0
16,40,1290,2013-11-22,0
17,46,1150,2013-11-22,0
20,6,1840,2013-12-09,0
24,0,2300,2013-12-19,0
28,57,140,2013-12-21,0
29,35,8535,2013-12-23,0
30,68,690,2014-01-29,0
31,0,1200,2014-01-15,0
32,6,1550,2013-12-28,0
33,46,1230,2014-01-14,0
34,0,3800,2014-01-15,0
35,0,2700,2014-01-17,0
37,107,1950,2014-01-21,0
38,0,2000,2014-01-23,0
39,0,1250,2014-01-01,0
42,11,2000,2014-02-10,0
43,19,500,2014-02-04,0
44,57,2206,2014-02-12,0
45,65,10690,2014-02-04,0
47,46,1690,2014-02-03,0
48,0,1930,2014-02-15,0
49,0,1690,2014-02-12,0
51,140,1400,2014-03-01,0
52,80,3970,2014-02-18,0
53,9,706,2014-03-12,0
54,35,2500,2014-03-20,0
55,0,1930,2014-02-05,0
56,63,1500,2014-03-04,0
57,107,3500,2014-02-06,0
58,72,2400,2014-02-20,0
59,120,1950,2014-02-20,0
60,63,1500,2014-03-05,0
61,57,2300,2014-03-02,0
62,40,650,2014-02-13,0
63,140,1690,2014-03-13,0
64,99,1260,2014-03-12,0
65,11,0,2014-03-04,0
66,6,1900,2014-04-16,0
214,0,0,2015-06-17,1
68,96,1900,2014-04-16,0
69,29,2906,2014-04-24,0
73,0,1900,2014-05-05,1
74,23,1200,2014-05-04,0
75,4,1,2014-05-08,0
78,63,1880,2014-04-29,0
80,74,6392,2014-05-06,0
81,35,3750,2014-05-06,0
84,0,1900,2014-05-04,1
87,167,1300,2014-05-06,0
88,175,950,2014-05-04,0
90,5,1,2014-05-05,0
91,177,3500,2014-04-25,0
95,68,650,2014-05-09,0
97,96,690,2014-08-27,0
100,6,0,2014-08-31,1
103,201,0,2014-09-04,1
126,27,3100,2014-09-17,0
127,35,5250,2014-09-27,0
128,80,1240,2014-10-04,0
130,208,1,2014-10-16,1
131,175,980,2014-10-16,0
132,213,690,2014-10-16,0
133,218,700,2014-11-23,0
134,218,700,2014-11-23,0
135,219,1,2014-11-27,0
136,219,1,2014-11-27,0
137,80,690,2014-11-27,0
138,80,690,2014-11-27,0
139,217,1200,2014-11-27,0
140,218,700,2014-11-25,0
141,54,1000,2014-12-03,0
142,54,1000,2014-12-03,0
143,54,1000,2014-12-03,0
144,73,1,2014-12-08,0
145,233,1250,2014-12-03,0
146,80,1240,2014-12-06,0
147,111,2150,2014-12-06,0
148,216,990,2014-12-11,0
149,175,2376,2014-12-12,0
150,68,690,2015-01-02,0
151,35,4180,2015-01-02,0
152,37,1621,2015-01-05,0
153,37,935,2015-01-07,0
154,37,1795,2014-12-22,0
155,169,1190,2014-12-22,0
156,0,1745,2014-12-23,0
157,0,198,2014-12-26,0
158,237,850,2015-01-03,0
159,251,490,2015-01-07,0
160,255,1600,2015-01-08,0
161,100,580,2015-01-19,0
162,47,280,2015-01-08,0
163,37,3145,2015-01-08,0
164,259,2706,2015-01-09,0
165,260,235,2015-01-09,0
166,258,1867,2015-01-09,0
167,57,1330,2015-01-09,0
168,80,1600,2015-01-10,0
189,0,0,2015-06-09,1
191,312,0,2015-06-16,1
190,138,0,2015-06-08,1
197,245,0,2015-06-15,1
198,232,0,2015-06-21,1
199,162,0,2015-07-13,1
219,123,0,2015-06-16,1
186,301,0,2015-06-17,1
202,316,0,2015-06-22,1
220,336,0,2015-06-16,1
204,318,0,2015-06-23,1
193,248,0,2015-06-17,1
203,317,0,2015-06-17,1
200,280,0,2015-06-16,1
201,189,0,2015-06-18,1
205,15,0,2015-06-12,1
206,308,0,2015-06-16,1
207,322,0,2015-06-17,1
208,323,0,2015-06-18,1
216,331,0,2015-06-23,1
210,0,0,2015-06-16,1
211,180,0,2015-06-19,1
213,325,0,2015-06-16,1
217,332,0,2015-06-18,1
218,333,0,2015-06-17,1
221,337,0,2015-06-16,1
222,330,0,2015-06-17,1
223,158,0,2015-06-17,1
