5,dan,200tbl pro sebe+200 tata zami+200michal karvina+ceka na ameriky,1900-01-03,6,900
6,rex,,1900-01-04,2,1200
7,jumbo,,1900-01-05,1,1150
8,protein,peak,1900-01-05,2,645
10,stan,lp,1900-01-07,3,825
12,hcg,,1900-01-09,1,500
20,spirak,cena viz viber nejsem si jisty,1900-01-14,2,520
21,peak,,1900-01-15,2,645
22,jumbo4400,,1900-01-16,1,1150
25,kreatin,reflex creapture,1900-01-19,1,550
26,peak,,1900-01-19,1,1290
29,peak,protein,1900-01-22,1,1290
30,mesomorph,,1900-01-23,1,1500
31,stacker,spalova�,1900-01-23,1,800
36,shaker,ruzovy klasika,1900-01-27,1,55
37,shaker mikro,300ml reflex ruzovy,1900-01-27,1,85
38,dan,2krat 300tbl(druha pro kamose),1900-01-28,2,2700
39,peak,protein,1900-01-28,3,645
40,clom,,1900-01-28,2,600
41,peak,,1900-01-29,1,690
42,noxi pro,,1900-01-30,1,1200
43,royal mass,,1900-01-31,1,1550
44,beef proteinamix,,1900-02-01,1,1230
45,synedrex,,1900-02-02,1,1500
46,mesomorph,,1900-02-02,1,1500
47,lipo black,,1900-02-02,1,800
48,Mesomorph,,1900-02-03,1,1500
49,Gold protein,Weider- mango 2kg,1900-02-03,1,1200
51,Jumbo,8800g,1900-02-05,1,1950
52,Animal Flex,,1900-02-06,1,750
53,Gold protein,Weider,1900-02-06,1,1250
54,Gold protein,Weider,1900-02-07,1,1250
58,Jumbo 8800,vele cokolada,1900-02-10,1,2000
59,kamagraviagra 5ks po 100,,1900-02-11,1,500
60,Peak,protein,1900-02-12,1,690
61,bcaa olimp,500g,1900-02-12,1,720
62,Xtreme thermo stack,spalovas weider,1900-02-12,1,796
63,kura,"doplatil treti cast,cili stan,multi testo,dan a bold, ted vse gep celk, kura cca 20.cili doplacena 3/3 jeste doplati na zaver pct a 2900",1900-02-13,1,10000
64,peak,protein,1900-02-13,1,690
66,mega mass,7kg,1900-02-15,1,1690
67,gold protein,weider,1900-02-16,1,1250
68,kreatin,monohydrat weider 600g,1900-02-16,1,680
69,Mega mass,gainer 7kg,1900-02-17,1,1690
73,whey fusin,peak zlaty protein,1900-02-19,2,700
74,Gainerator,coko 3kg,1900-02-20,1,900
75,Mesomorph,aps,1900-02-20,1,1500
76,80+ protein,Weider lesni smes 2kg,1900-02-20,1,1570
77,bcaa 500g,instantni olimp,1900-02-21,1,706
78,Gold protein,Weider,1900-02-22,2,1250
79,kreatin,Weider 600g monohydrat,1900-02-23,1,680
80,Gold protein,Weider 2kg mango,1900-02-23,1,1250
81,Mesomorph,aps,1900-02-24,1,1500
82,Meso,aps,1900-02-25,1,1500
83,Jumbo 8800,Scitec nutrition,1900-02-25,1,2000
84,80+ protein,Weider 2kg,1900-02-26,1,1500
85,grenade black,granat,1900-02-26,1,900
86,Jumbo,1924-02-03,1900-02-27,1,1950
87,Mesomorph,,1900-02-28,1,1500
88,Lipo uc,nutrex,1900-03-01,1,1000
89,peak protien,whey fusion a myo fusion,1900-03-01,2,650
90,bcaa,peak bcaa tbl,1900-03-02,1,650
91,Mega mass,weider 4000=7kg,1900-03-03,1,1690
92,flex,aone kloubovka 180tbl,1900-03-04,1,880
93,l karnitn,2201-03-02,1900-03-04,1,380
94,mega mass,"weider 4000 - 7kg, coko",1900-03-05,1,1690
95,jumbo,1924-02-03,1900-03-06,1,1900
142,,bude neco chtit?,1900-08-01,0,0
97,jumbo,1924-02-03,1900-03-08,1,1900
98,bcaa,olimp instatntni 500g,1900-03-09,1,706
99,stan,bayern,1900-03-09,2,1100
100,protein,nev� jaky,1900-06-17,0,0
102,sds,sad,1900-06-19,223,323
103,erew,dsada,1900-06-20,2323,432432
104,a,a,1900-06-21,2,2
105,,d,1900-06-22,2,3
106,s,s,1900-06-23,2,33
107,,,1900-06-24,0,0
108,s,d,1900-06-25,2,2
109,kloubovka,kloubovka ma si vybrat jakou chce,1900-06-26,1,0
110,hydro prom in,,1900-06-27,1,0
111,viz fb,,1900-06-28,0,0
112,,doporucol kamosum chteji neco?,1900-06-29,0,0
113,,obslehnout lidi,1900-06-30,0,0
114,mesomorph,podivat se do chatu jakou mel cenu posledne ted 1350,1900-07-01,1,0
115,chce protein,od arnolda al ema nabidku na amix fusion a protein80 hi tec,1900-07-02,0,0
116,,ma mi napsat co kamosi popripade zkopirovat lidi,1900-07-03,0,0
117,clen,"PTAL SE NA CLEN CINU 900,-  a eca mozna",1900-07-04,0,0
118,,spalovac a protein?,1900-07-05,0,0
119,"whey c6,lipo",,1900-07-06,1,0
120,,"ma nabidku i na bcaa a proten, potvrdit zpusob prevzeti",1900-07-07,0,0
121,xplode bcaa,bude chtit asi bcaa a amina a kloubovku a neco i bracha,1900-07-08,0,0
122,,bude mit narozenny a dostane penize tak si neco vezme,1900-07-09,0,0
123,,vybere neco z usa,1900-07-10,0,0
124,,za 14 dni bude chtit toho vic asi,1900-07-11,0,0
125,,uvidi po vyplate jak na tom bude a neco by vzal,1900-07-15,0,0
126,,po vyplate 20.6 bude chtt asi meso nebo jacka(1200 a 1300) lamu i na vyzivu,1900-07-16,0,0
127,,viz poznamka posledni,1900-07-17,0,0
128,,ozve se,1900-07-18,0,0
129,,ma nejakou objednavlu pro lidi?,1900-07-19,0,0
130,,viz poznamka,1900-07-20,0,0
131,spalovac,chce se poradit neox by chtel,1900-07-21,0,0
132,spalovac,vi zpoznamky j eted v turecku tak az se vrati,1900-07-22,0,0
133,,da vedet co chce od amixu zadal uz gainer+ registrovat se,1900-07-23,0,0
134,objednavka,potvrdi objednavku,1900-07-24,0,0
135,,NN?,1900-07-25,0,0
136,V,chce v napise na viber?,1900-07-26,0,0
137,,podle vyplaty by neco vzal,1900-07-27,0,0
138,,ma zajem asi o usa jacka,1900-07-28,0,0
139,,nn?,1900-07-29,0,0
140,,spalovac,1900-07-30,0,0
141,usa,viz poznamky,1900-07-31,0,0
144,porovnat ceny,bude chtit usa?:,1900-08-03,0,0
145,,nn,1900-08-04,0,0
146,,nn?,1900-08-05,0,0
147,vezme neco s vyplaty,co da vedet vecer,1900-08-06,0,0
148,jumbo,kdy si ho vyzvedne?,1900-08-07,0,0
149,,CEKAM AZ SE REGISTRUJE,1900-08-08,0,0
150,neco do  3000 po domluve,chce nabrat 10 kg neco bude chtit,1900-08-09,0,0
151,nn,ozve se tento tyden bude neco chtit,1900-08-10,0,0
